,body,Stemmed_text,Lemmatized_text
0,"The media could not be loaded.
                



 Alexa cannot hear after she starts playing",alexa cannot hear start play,alexa cannot hear start playing
1,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly.",purchas birthday gift year old son sinc sibl though would fun experi talk give command alexa dismay use play music also one song one month birthday alexa pleas play fli jat song thing demonstr alexa like jungl quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest power socket also interest use bluetooth speaker configur control wipro smart bulb day start use smart bulb regular bulb easier press physic switch compar check configur connect everytim alexa bulb alexa bulb voic command work kept idl sinc month remain mani month year come bottomlin alexa use advertis tend lose interest quickli,purchased birthday gift year old son since sibling though would fun experience talking giving command alexa dismay used playing music also one song one month birthday alexa please play flying jat song thing demonstrated alexa like jungle quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest powered socket also interested use bluetooth speaker configured control wipro smart bulb day started using smart bulb regular bulb easier press physical switch compared checking configuration connection everytime alexa bulb alexa bulb voice command work kept idle since month remain many month year come bottomline alexa useful advertised tend lose interest quickly
2,"The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy.",upload video enjoy idiot devic everi bought never play origin song alway play remix instrument song wish would bought googl home bluetooth speaker attach talk amazon echo dot execut review echo dot repres call glad show issu song select told librari song select better add gaana com alexa app follow guidelin repeat record issu pleas see screen shot list audio alexa fun realis amazon review doe support audio video buy devic personalis fun life way attach audio file video funni wa attach feedback alexa need video call mismatch basic requir tri get captur view attach issu ad imag till enjoy,uploading video enjoy idiotic device every bought never play original song always play remix instrumental song wish would bought google home bluetooth speaker attachment talking amazon echo dot executive review echo dot representative called glad showed issue song selection told library song selecting better add gaana com alexa app following guideline repeated recorded issue please see screen shot listed audio alexa fun realise amazon review doe support audio video buy device personalised fun life way attaching audio file video funny wa attach feedback alexa need video called mismatch basic requirement try get capture view attach issue added image till enjoy
3,"The media could not be loaded.
                



 Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa",buy product ask alexa kashmir part countri said china boycott alexa,buy product asked alexa kashmir part country said china boycott alexa
4,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,one best deal ever got amazon purchas watt wipro light enjoy sinc last daya th echo devic ye would highli recommend buy product search echo dot wall mount see rupe wall mount trust make huge differ sound transport plu wall recognis voic quicker face wall serious guy combin two compulsori,one best deal ever got amazon purchased watt wipro light enjoying since last daya th echo device yes would highly recommend buying product search echo dot wall mount see rupee wall mount trust make huge difference sound transportability plus wall recognise voice quicker face wall seriously guy combination two compulsory
5,"The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you",worst experi alexa warranti get product amazon polici worst ctdi partner offici amazon devic servic partner request amazon replac alexa devic warranti period refus request issu escal bu amazon team follow call held till today give fake excus servic temporari un avail servic alexa day warranti get expir say product warranti expir give servic product excus amazon world wide compani chang polici nation lockdown think amazon polici worst stand last top compani list custom satisfact even appl extend warranti product lockdown amazon shame amazon shame,worst experience alexa warranty get product amazon policy worst ctdi partner official amazon device service partner requested amazon replace alexa device warranty period refuse request issue escalated bu amazon team follow call held till today giving fake excuse service temporary un available service alexa day warranty get expire say product warranty expired give service product excuse amazon world wide company change policy national lockdown think amazon policy worst stand last top company list customer satisfaction even apple extended warranty product lockdown amazon shame amazon shameful
6,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products.",buy product pleas keep point mind need amazon prime account rs per year listen music amazon otherwis use free full advertis servic like saavn gaana etc echo dot skip next song abruptli without complet current song often tri stream music amazon prime music app iphon echo dot echo dot stereo pair app cannot control music cannot scrub music know song play move next music playlist control magic switch alexa app need phone setup echo dot stream stereo pair amazon prime music app real support exist devic call amazon support staff drive crazi know noth product featur want use kid toy ok buy switch light compat alexa audio qualiti basic even cheap chines product sound better realli product music lover better buy either soni jbl soundbar subwoof better qualiti music though may cost beyond inr k alexa understand command appl siri way ahead alexa amazon softwar hardwar compani expect qualiti softwar hardwar use tester experiment product,buying product please keep point mind need amazon prime account r per year listen music amazon otherwise use free full advertisement service like saavn gaana etc echo dot skip next song abruptly without completing current song often try stream music amazon prime music app iphone echo dot echo dot stereo pair app cannot control music cannot scrub music know song playing move next music playlist control magically switch alexa app need phone setup echo dot stream stereo pair amazon prime music app real support exists device call amazon support staff drive crazy know nothing product feature want use kid toy ok buy switch light compatible alexa audio quality basic even cheap chinese product sound better really product music lover better buy either sony jbl soundbars subwoofer better quality music though may cost beyond inr k alexa understands command apple siri way ahead alexa amazon software hardware company expect quality software hardware used tester experimental product
7,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now",use alexa dot nd gen today gift dot rd gen daddi see differ sound qualiti compar nd gen sound qualiti amaz louder nd gen dot one thing disappoint say alexa play old telugu song nd gen dot play old song retro station rd gen dot play telugu song telugu old song special say alexa play telugu retro station song play old song specif combin male femal singer updat review day star rate,using alexa dot nd gen today gifted dot rd gen daddy see difference sound quality compared nd gen sound quality amazing louder nd gen dot one thing disappointed say alexa play old telugu song nd gen dot play old song retro station rd gen dot playing telugu song telugu old song specially say alexa play telugu retro station song playing old song specific combination male female singer update review day star rating
8,"The media could not be loaded.
                



 Works beautifully, have bought 3 to link the entire house. Frequently group and play them together, use drop in to create an intercom, and have linked to speakers, bulbs, TV and other gadgets. I would still give this only 3 stars because it is double the rate here in India compared to the US. A country with 25 TIMES India's per capita income. What is this pricing Amazon? I understand there may be taxes in India but still. 2X the price ?This not withstanding will buy a larger Echo speaker whenever there is a sale on Echo with reasonable prices.",work beauti bought link entir hous frequent group play togeth use drop creat intercom link speaker bulb tv gadget would still give star doubl rate india compar us countri time india per capita incom price amazon understand may tax india still x price withstand buy larger echo speaker whenev sale echo reason price,work beautifully bought link entire house frequently group play together use drop create intercom linked speaker bulb tv gadget would still give star double rate india compared u country time india per caput income pricing amazon understand may tax india still x price withstanding buy larger echo speaker whenever sale echo reasonable price
9,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late,use get bulb worth make echo dot roughli dollar price get deal usa ask friend get anyon sit fenc buy instead buy bluetooth speaker th echo dot includ earlier version googl mini doesnt even come close come smart googl mini answer googl search question better one buy smart speaker integr smart devic unparal mini appear dumb time grab goe back old price even smart bulb help watch tv ask alexa turn bulb blue red sure bulb dim use day bulb night bulb go late,using getting bulb worth making echo dot roughly dollar price get deal usa asking friend get anyone sitting fence buy instead buying bluetooth speaker th echo dot including earlier version google mini doesnt even come close come smartness google mini answer google search question better one buying smart speaker integration smart device unparalled mini appears dumb time grab go back old price even smart bulb helpful watching tv ask alexa turn bulb blue red sure bulb dim use day bulb night bulb go late
10,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)",speaker larger thought would bit chunki heavi move nice weight even play full volum though believ volum would enough peopl sound good inde bollywood danc song play great even rock metal song enjoy bass heavi sound seem weight nice bass heavi song alexa make easi mani thing especi smart applianc light home compat sone thing find enjoy ask alexa turn tv via smart plug play particular show fire tv stick time get live room everyth show start even use call famili dinner two echo speaker privaci issu comfort give conveni provid play music news weather updat traffic updat read kindl librari book possibl endless spotifi nice integr alexa downsid googl feud mean youtub youtub music support offici run hoop get work p look paul hibbert youtub oh ironi p p amit bachchan voic avail via amitji keyword unfortun pay extra,speaker larger thought would bit chunky heavy move nicely weighted even played full volume though believe volume would enough people sound good indeed bollywood dance song play great even rock metal song enjoyable bass heavy sound seems weighted nice bass heavy song alexa make easy many thing especially smart appliance light home compatible sone thing find enjoyable asking alexa turn tv via smart plug play particular show fire tv stick time get living room everything show start even use call family dinner two echo speaker privacy issue comfortable giving convenience provides playing music news weather update traffic update reading kindle library book possibility endless spotify nicely integrated alexa downside google feud mean youtube youtube music support officially run hoop get working p look paul hibbert youtube oh irony p p amit bachchan voice available via amitji keyword unfortunately pay extra
11,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)",amaz product especi integr googl calendar ton skill play around though hope better softwar updat butit bang product price bought wipro bulb echo dot togeth rs return wipro bulb got back rs got alexa rs trueli bang smart assist bluetooth speaker,amazing product especially integration google calendar ton skill play around though hoping better software update butit bang product price bought wipro bulb echo dot together r returned wipro bulb got back r got alexa r truely bang smart assistant bluetooth speaker
12,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome",like alexa featur rate due fact inbuilt batteri big minu today mobil world cannot enforc devic plug alway usb charg facil alexa app horribl slow moment wifi connect chang cannot detect need reconfigur itplu featur devic shape great sound qualiti superb voic respons awesom,like alexa feature rated due fact inbuilt battery big minus today mobile world cannot enforce device plugged always usb charging facility alexa app horribly slow moment wifi connection change cannot detect need reconfigure itplus feature device shape great sound quality superb voice response awesome
13,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller.",devic refus set alexa app work mother phone bought even tri sign alexa app phone tri log account phone soon would log app would go blank still confid noth wrong echo devic problem alexa app specif problem mother account alexa app unfortun way fix talk kind custom support custom support chat bot preset list question need select way get support app suggest would stay away wouldumb smart speaker amazon us help law countri requir amazon india suck come alexa app support way talk chat someon check account strang worst purchas amazon actual amazon product someth sold list seller,device refused set alexa app work mother phone bought even tried signing alexa app phone tried logging account phone soon would log app would go blank still confident nothing wrong echo device problem alexa app specifically problem mother account alexa app unfortunately way fix talk kind customer support customer support chat bot preset list question need select way get support app suggestion would stay away wouldumb smart speaker amazon u helpful law country require amazon india suck come alexa app support way talk chat someone check account strange worst purchase amazon actually amazon product something sold listed seller
14,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement.",product intermitt issu connect phone play video sound spoke amazon tech support went ahead rais replac troubleshoot pick devic though replac updat noth app indic product pick replac sent moreov devic dont connect zoom app call india though featur avail countri echo connect featur hope sent replac,product intermittent issue connecting phone playing video sound spoke amazon tech support went ahead raising replacement troubleshooting picked device though replacement update nothing app indicates product picked replacement sent moreover device dont connectivity zoom app calling india though feature available country echo connect feature hope sent replacement
