,body,cleaned,polarity,sentiment,word_count,avg_length,review_len
0,"The media could not be loaded.
                



 Alexa cannot hear after she starts playing", alexa cannot hear after she starts playing,0.0,neutral,7,5.142857142857143,49
1,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly.",i purchased this as a birthday gift for my years old son since he do not have siblings so i though it would be a fun experience for him talking to and giving commands to alexa but to my dismay he only used it for playing music that also only one song after one month of his birthday alexa please play the flying jat song there were things i demonstrated him about alexa like jungle quiz panchtantra ki kahaniya alexa laugh beatbox fart etc but after one month of use he lost interest in it and being powered from socket i am also not interested to use it as a bluetooth speaker i configured it to control a wipro smart bulb but after few days i started using the smart bulb as a regular bulb because it is easier to press the physical switch compared to checking the configuration connection everytime alexa bulb on or alexa bulb off voice command does not work so now it is kept idle since months and will remain so for many more months years to come the bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly ,0.1691,positive,203,4.231527093596059,1088
2,"The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy.", here i am uploading video enjoy most idiotic device i every bought never play original songs always play some or the other remix or instrumental songs i wish i would have bought google home or some bluetooth speakers some attachments after talking to amazon echo dot executive after my above review echo dot representative called me i am glad for this i showed him the issue with song selection but he told me that it is because of library does not have songs that i am selecting and it is better to add gaana com from alexa app after following his guidelines i repeated and recorded issues please see the screen shots and listed to audio for alexa and have fun now i realise amazon review doe not support audio but only video you can buy this device if you have to have personalised fun in your life the is not way of attaching audio files only video so this is again funny if i wa not to attach some feedback for alexa why do i need video this is called mismatch in basic requirement i will try to get capture view than attach here for same issues added as image till than enjoy ,0.1608,positive,204,4.299019607843137,1110
3,"The media could not be loaded.
                



 Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa", do not buy this product when i asked alexa that kashmir is part of which country it said china boycott alexa,0.0,neutral,21,4.190476190476191,116
4,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,its just one if the best deal i ever got on amazon i purchased it with a watt wipro light at and enjoying it since last daya its my th echo device and yes i would highly recommend buying a product with this just search echo dot wall mount you ll see a rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,0.3158,positive,95,4.157894736842105,508
5,"The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you", worst experience with alexa no warranty you get with this product amazon policy are worst ctdi partner an official amazon devices service partner i have requested to amazon to replace my alexa device with in the warranty period the refuses my request issue is escalated bu amazon team but no follow up call can be held till today they are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product excuse me amazon all of the world wide companies change their policies in national lockdown i think amazon policy are worst they stand in the last of the top companies list they have no customer satisfaction even apple has extended there warranty of their product in lockdown amazon shame amazon shameful for you,-0.295,negative,154,4.694805194805195,895
6,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products.",before buying this product please keep these points in mind you need amazon prime account for rs per year to listen to music from amazon otherwise you will have to use free and full of advertisement services like saavn gaana etc echo dot skips to next song abruptly without completing current song most often if you try to stream music from your amazon prime music app on your iphone to echo dot or echo dot stereo pair the app cannot control the music you cannot scrub music or know which song is playing or move to next music in the playlist the control magically switches the alexa app that you need to have on your phone to setup echo dot you can only stream to stereo pair from amazon prime music app no real support exists for this device if you call amazon support staff they will drive you crazy as they know nothing about this product and its features if you want to use it as kids toy then it is ok to buy it as it can switch on and off lights that are compatible with alexa audio quality is very basic even a cheap chinese product sounds better this is really a no no product for music lovers you better buy either sony or jbl soundbars with subwoofer for better quality music though these may cost you beyond inr k alexa does not understands most of the commands apple siri is way ahead of alexa amazon is not a software and hardware company do not expect quality software and hardware from them you are being used as testers for their experimental products ,0.1821,positive,275,4.345454545454546,1511
7,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now",i am using alexa dot nd gen and today i have gifted dot rd gen to my daddy i see of difference in sound quality compared nd gen sound quality is amazing it is louder than nd gen dot one thing disappointed is that when say alexa play old telugu songs in nd gen dot it play old songs from retro station but in rd gen dot it is playing telugu songs not telugu old songs when i specially say alexa play telugu retro station songs it is playing old songs of specific combination of male and female singers i will update the review after days again but it is star rating for now,0.1467,positive,114,4.026315789473684,597
8,"The media could not be loaded.
                



 Works beautifully, have bought 3 to link the entire house. Frequently group and play them together, use drop in to create an intercom, and have linked to speakers, bulbs, TV and other gadgets. I would still give this only 3 stars because it is double the rate here in India compared to the US. A country with 25 TIMES India's per capita income. What is this pricing Amazon? I understand there may be taxes in India but still. 2X the price ?This not withstanding will buy a larger Echo speaker whenever there is a sale on Echo with reasonable prices.", works beautifully have bought to link the entire house frequently group and play them together use drop in to create an intercom and have linked to speakers bulbs tv and other gadgets i would still give this only stars because it is double the rate here in india compared to the us a country with times india is per capita income what is this pricing amazon i understand there may be taxes in india but still x the price this not withstanding will buy a larger echo speaker whenever there is a sale on echo with reasonable prices ,0.1281,positive,98,4.408163265306122,557
9,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late,for using off you are getting a bulb worth making echo dot which at roughly dollars is same price you get in deals in usa so no more asking friends to get them from there anyone sitting on the fence can buy this instead of buying bluetooth speakers this is th echo dot including earlier versions and google mini doesnt even come close when it comes to smartness while google mini answers google search questions better no one is buying a smart speaker for that its integration with smart devices is unparalled and my mini appears dumb most of the times just grab this before it goes back to its old price even the smart bulb is very helpful while watching tv just ask alexa to turn bulb blue or red not sure if this bulb can dim if so you can use this both as a day bulb and a night bulb just go for it before its too late,0.0562,positive,161,4.111801242236025,867
